State Name,State Abbr,County Name,Has Airport,Has Ferry Terminal,Has Train Station
Indiana,IN,Kosciusko County,0,0,0
Mississippi,MS,Noxubee County,0,0,0
Arkansas,AR,Woodruff County,0,0,0
New Jersey,NJ,Gloucester County,0,0,0
New Hampshire,NH,Hillsborough County,0,0,0
Montana,MT,Judith Basin County,0,0,0
North Carolina,NC,Mitchell County,0,0,0
Montana,MT,Powell County,0,0,0
Oregon,OR,Polk County,0,1,0
Oregon,OR,Wasco County,0,1,0
South Dakota,SD,Perkins County,0,0,0
Iowa,IA,Taylor County,0,0,0
Alabama,AL,Washington County,0,0,0
Ohio,OH,Defiance County,0,0,0
West Virginia,WV,Greenbrier County,1,0,1
Illinois,IL,Marion County,0,0,1
Virginia,VA,Dickenson County,0,0,0
Virginia,VA,Amelia County,0,0,0
Georgia,GA,Randolph County,0,0,0
New Mexico,NM,Luna County,1,0,1
Texas,TX,Nueces County,1,1,0
Wyoming,WY,Weston County,0,0,0
Illinois,IL,Warren County,0,0,0
Alabama,AL,Madison County,1,0,0
Tennessee,TN,Wilson County,0,0,1
Texas,TX,Camp County,0,0,0
Oklahoma,OK,Jefferson County,0,0,0
West Virginia,WV,Ritchie County,0,0,0
Iowa,IA,Page County,0,0,0
Kansas,KS,Jefferson County,0,0,0
Louisiana,LA,Iberia Parish,1,0,1
Alaska,AK,Kusilvak Census Area,1,0,0
North Carolina,NC,Onslow County,1,1,0
